DateTime,Name,Site,DateTime,Tz,{parameter},qual_code
1970-01-01 00:00:00.000000000,1.12,P,1970-01-01 00:00:00.000000000,P,1010.0,P
1970-01-01 00:00:00.000000000,1.81,P,1970-01-01 00:00:00.000000000,P,984.0,P
1970-01-01 00:00:00.000000000,1.53,P,1970-01-01 00:00:00.000000000,P,1030.0,P
1970-01-01 00:00:00.000000000,1.36,P,1970-01-01 00:00:00.000000000,P,1060.0,P
1970-01-01 00:00:00.000000000,1.59,P,1970-01-01 00:00:00.000000000,P,924.0,P
1970-01-01 00:00:00.000000000,1.75,P,1970-01-01 00:00:00.000000000,P,1010.0,P
1970-01-01 00:00:00.000000001,2.2,P,1970-01-01 00:00:00.000000001,P,1150.0,P
1970-01-01 00:00:00.000000000,2.19,P,1970-01-01 00:00:00.000000000,P,1760.0,P
1970-01-01 00:00:00.000000000,3.37,P,1970-01-01 00:00:00.000000000,P,5760.0,P
1970-01-01 00:00:00.000000003,6.89,P,1970-01-01 00:00:00.000000003,P,13400.0,P
1970-01-01 00:00:00.000000004,7.17,P,1970-01-01 00:00:00.000000004,P,14100.0,P
1970-01-01 00:00:00.000000002,4.49,P,1970-01-01 00:00:00.000000002,P,8030.0,P
1970-01-01 00:00:00.000000001,2.55,P,1970-01-01 00:00:00.000000001,P,4120.0,P
1970-01-01 00:00:00.000000000,1.73,P,1970-01-01 00:00:00.000000000,P,2860.0,P
1970-01-01 00:00:00.000000001,2.17,P,1970-01-01 00:00:00.000000001,P,2240.0,P
1970-01-01 00:00:00.000000001,2.51,P,1970-01-01 00:00:00.000000001,P,2020.0,P
1970-01-01 00:00:00.000000000,2.14,P,1970-01-01 00:00:00.000000000,P,1790.0,P
1970-01-01 00:00:00.000000000,1.66,P,1970-01-01 00:00:00.000000000,P,1500.0,P
1970-01-01 00:00:00.000000000,1.66,P,1970-01-01 00:00:00.000000000,P,1590.0,P
1970-01-01 00:00:00.000000000,1.79,P,1970-01-01 00:00:00.000000000,P,1770.0,P
1970-01-01 00:00:00.000000000,1.67,P,1970-01-01 00:00:00.000000000,P,1840.0,P
1970-01-01 00:00:00.000000001,1.88,P,1970-01-01 00:00:00.000000001,P,1580.0,P
1970-01-01 00:00:00.000000001,2.32,P,1970-01-01 00:00:00.000000001,P,1610.0,P
1970-01-01 00:00:00.000000000,2.32,P,1970-01-01 00:00:00.000000000,P,1580.0,P
1970-01-01 00:00:00.000000000,1.48,P,1970-01-01 00:00:00.000000000,P,1600.0,P
1970-01-01 00:00:00.000000000,1.07,P,1970-01-01 00:00:00.000000000,P,1410.0,P
1970-01-01 00:00:00.000000000,1.87,P,1970-01-01 00:00:00.000000000,P,1290.0,P
1970-01-01 00:00:00.000000000,1.67,P,1970-01-01 00:00:00.000000000,P,1310.0,P
1970-01-01 00:00:00.000000000,1.31,P,1970-01-01 00:00:00.000000000,P,1160.0,P
1970-01-01 00:00:00.000000000,1.37,P,1970-01-01 00:00:00.000000000,P,1050.0,P
1970-01-01 00:00:00.000000000,2.02,P,1970-01-01 00:00:00.000000000,P,1280.0,P
1970-01-01 00:00:00.000000000,1.99,P,1970-01-01 00:00:00.000000000,P,1470.0,P
1970-01-01 00:00:00.000000000,1.57,P,1970-01-01 00:00:00.000000000,P,1230.0,P
,,,,,1490.0,P
1970-01-01 00:00:00.000000000,1.16,P,1970-01-01 00:00:00.000000000,P,1890.0,P
